index,start_date,lat,lon,fw_fw_06_swe_-2,swe_swe_average_-2,clusteringLabel
4358,2006-06-01,52.43098,138.71529,0,255,0
4423,2006-06-01,40.63565,125.41217,1,255,0
4487,2006-06-01,59.8444,-157.31348,0,255,0
4516,2006-06-01,61.91967,171.60708,0,255,0
4519,2006-06-01,61.80964,170.23332,0,255,0
4550,2006-06-01,51.31971,136.44412,0,255,0
4568,2006-06-01,48.22915,132.31622,0,255,0
4592,2006-06-01,43.75471,127.67359,0,255,0
4621,2006-06-01,31.3539,119.34521,12,255,2
4693,2006-06-01,61.36969,-164.30507,0,255,0
4696,2006-06-01,61.55069,-165.63,12,255,2
4699,2006-06-01,62.44999,178.57972,3,255,0
4701,2006-06-01,62.38104,175.74618,2,255,0
4713,2006-06-01,62.03861,170.15418,0,255,0
4716,2006-06-01,61.91119,168.78116,0,255,0
4733,2006-06-01,53.8738,140.14789,5,255,1
4740,2006-06-01,52.78737,138.24911,0,255,0
4749,2006-06-01,51.32681,135.96286,0,255,0
4750,2006-06-01,51.16033,135.71916,0,255,0
4764,2006-06-01,48.74772,132.51045,0,255,0
4767,2006-06-01,48.21185,131.86975,0,255,0
4780,2006-06-01,45.81869,129.26833,0,255,0
4788,2006-06-01,44.29189,127.79862,0,255,0
4848,2006-06-01,25.92054,116.66007,0,255,0
4850,2006-06-01,25.4442,116.47066,0,255,0
4863,2006-06-01,1.33066,109.91421,13,255,2
4867,2006-06-01,0.13848,109.69677,0,255,0
4872,2006-06-01,36.02633,-121.34715,19,255,3
4902,2006-06-01,60.54117,-158.19859,0,255,0
4915,2006-06-01,61.52929,-163.73979,0,255,0
4948,2006-06-01,61.83312,165.96376,0,255,0
4959,2006-06-01,59.28758,153.05424,19,255,3
4968,2006-06-01,53.28074,138.54477,33,255,5
4972,2006-06-01,52.64461,137.48955,0,255,0
4982,2006-06-01,50.99445,135.0,0,255,0
5009,2006-06-01,46.16081,129.22568,0,255,0
5012,2006-06-01,45.59325,128.65981,0,255,0
5082,2006-06-01,25.08377,116.09542,0,255,0
5102,2006-06-01,35.50601,-120.75265,0,255,0
5128,2006-06-01,59.70608,-153.62787,14,255,2
5156,2006-06-01,62.0008,-165.39873,5,255,1
5190,2006-06-01,61.4763,161.85442,4,255,1
