index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,[ALL]_Q0.1
299,2006-12-01,35.26666,140.3828,0,88,1,1,0,4,82,2,0,0,0,0,0,0,0,0,90,0,0,0,0,84,6,0,0,0,90,0,0,0,0,88,2,0,3
303,2006-12-01,9.1843,123.11134,0,0,0,0,0,7,83,0,0,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0
304,2006-12-01,7.93528,122.64238,0,0,0,0,0,6,84,0,0,0,0,0,0,0,0,4,86,0,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0
330,2006-12-01,12.1935,123.88918,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,65,25,0,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0,0
356,2006-12-01,10.65336,123.05347,0,0,0,0,8,33,49,0,0,0,0,0,0,0,0,1,89,0,0,0,2,86,2,0,0,0,90,0,0,0,0,90,0,0,0
358,2006-12-01,10.16098,122.86187,0,0,0,0,0,0,54,21,14,0,0,0,0,0,0,3,87,0,0,0,2,85,3,0,0,0,90,0,0,0,0,90,0,0,0
359,2006-12-01,9.91373,122.76681,0,0,0,0,0,28,42,12,3,0,0,0,0,0,0,3,87,0,0,0,0,88,2,0,0,0,90,0,0,0,0,90,0,0,0
383,2006-12-01,36.72474,140.16225,0,0,0,0,0,5,60,13,11,0,0,0,0,0,0,0,90,0,0,0,0,79,11,0,0,0,90,0,0,0,0,88,2,0,0
406,2006-12-01,37.40054,140.5853,0,90,0,0,0,0,74,0,0,0,0,0,0,0,0,3,87,0,0,0,0,80,10,0,0,0,89,1,0,0,0,89,1,0,3
419,2006-12-01,35.26069,138.12213,0,90,0,0,0,17,42,29,0,0,0,0,0,0,0,0,90,0,0,0,0,81,9,0,0,0,90,0,0,0,0,88,2,0,3
427,2006-12-01,11.37443,122.70316,0,0,0,0,0,30,54,6,0,0,0,0,0,0,0,0,90,0,0,0,2,86,2,0,0,0,90,0,0,0,0,90,0,0,0
428,2006-12-01,11.1289,122.60728,0,0,0,0,0,26,57,2,5,0,0,0,0,0,0,0,90,0,0,0,2,87,1,0,0,0,90,0,0,0,0,90,0,0,0
436,2006-12-01,37.11081,139.83795,0,89,1,0,0,0,21,5,5,0,0,0,0,0,0,4,86,0,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,3
442,2006-12-01,36.12289,138.69705,0,90,0,0,0,0,39,0,0,0,0,0,0,0,0,0,90,0,0,0,0,79,11,0,0,0,90,0,0,0,0,88,2,0,3
448,2006-12-01,35.10822,137.59471,0,89,0,1,0,17,72,0,0,0,0,0,0,0,0,0,90,0,0,0,0,83,7,0,0,0,90,0,0,0,0,89,1,0,3
455,2006-12-01,11.53144,122.5532,0,0,0,0,0,16,66,8,0,0,0,0,0,0,0,0,87,3,0,0,2,86,2,0,0,0,90,0,0,0,0,90,0,0,0
465,2006-12-01,37.78785,140.26003,0,88,2,0,0,0,30,1,0,0,0,0,0,0,0,9,81,0,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,3
468,2006-12-01,37.30291,139.67416,0,89,1,0,0,0,31,0,0,0,0,0,0,0,0,8,79,3,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,3
495,2006-12-01,1.00641,118.86716,0,0,0,0,0,5,85,0,0,0,0,0,0,0,0,0,38,47,5,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0
505,2006-12-01,37.98058,140.0957,0,84,6,0,0,0,12,19,0,0,0,0,0,0,0,10,80,0,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,3
506,2006-12-01,37.81928,139.89909,0,84,6,0,0,0,27,4,0,0,0,0,0,0,0,8,82,0,0,0,0,81,9,0,0,0,90,0,0,0,0,89,1,0,3
521,2006-12-01,35.30959,137.08257,0,0,0,0,0,3,86,0,0,0,0,0,0,0,0,0,90,0,0,0,0,82,8,0,0,0,90,0,0,0,0,89,1,0,0
528,2006-12-01,33.90434,135.67802,0,89,0,1,0,3,83,2,1,0,0,0,0,0,0,0,67,14,4,0,0,78,12,0,0,0,90,0,0,0,0,86,4,0,3
538,2006-12-01,39.28292,141.34019,0,88,2,0,0,2,66,1,0,0,0,0,0,0,0,27,63,0,0,0,0,80,10,0,0,0,89,1,0,0,0,88,2,0,3
545,2006-12-01,38.17268,139.93024,0,83,7,0,0,0,28,0,0,0,0,0,0,0,0,12,78,0,0,0,0,81,9,0,0,0,90,0,0,0,0,89,1,0,3
547,2006-12-01,37.84848,139.53777,1,80,8,1,0,0,23,1,0,0,0,0,0,0,0,8,77,5,0,0,0,81,9,0,0,0,90,0,0,0,0,89,1,0,3
553,2006-12-01,36.85765,138.38739,0,86,4,0,0,0,28,0,0,0,0,0,0,0,0,15,75,0,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,3
564,2006-12-01,34.97226,136.38036,0,90,0,0,0,6,76,7,0,0,0,0,0,0,0,0,88,2,0,0,0,81,9,0,0,0,90,0,0,0,0,88,2,0,3
574,2006-12-01,1.03258,118.50776,0,0,0,0,0,0,79,11,0,0,0,0,0,0,0,0,35,50,5,0,1,89,0,0,0,0,90,0,0,0,0,90,0,0,0
577,2006-12-01,39.63329,141.38156,0,80,10,0,0,0,24,0,4,0,0,3,3,2,0,32,58,0,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,3
584,2006-12-01,38.52555,139.96179,0,83,7,0,0,0,25,2,0,0,0,0,0,0,0,13,74,3,0,0,0,81,9,0,0,0,90,0,0,0,0,89,1,0,3
586,2006-12-01,38.20203,139.56665,2,64,18,6,4,20,17,1,0,0,0,0,0,0,0,14,76,0,0,0,0,81,9,0,0,0,90,0,0,0,0,89,1,0,3
596,2006-12-01,36.53906,137.65889,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,4,0,0,0,78,12,0,0,0,90,0,0,0,0,89,1,0,3
617,2006-12-01,39.98313,141.42348,1,76,13,0,0,0,31,0,0,0,0,6,22,0,0,37,53,0,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,3
635,2006-12-01,35.51472,136.21887,0,89,1,0,8,21,50,6,0,0,0,0,0,0,0,0,89,1,0,0,0,82,8,0,0,0,90,0,0,0,0,89,1,0,3
648,2006-12-01,40.1773,141.25661,1,69,20,0,0,1,32,6,0,0,0,6,22,0,0,47,43,0,0,0,0,79,11,0,0,0,90,0,0,0,0,89,1,0,3
661,2006-12-01,35.87294,136.22633,0,89,1,0,0,2,78,2,0,0,0,0,0,0,0,0,89,1,0,0,0,82,8,0,0,0,90,0,0,0,0,89,1,0,3
670,2006-12-01,33.90434,134.32198,0,85,5,0,0,3,68,18,1,0,0,0,0,0,0,0,88,2,0,0,1,84,5,0,0,0,90,0,0,0,0,86,4,0,3
681,2006-12-01,43.18458,145.2869,0,0,0,0,0,4,67,17,0,0,0,25,25,1,0,13,72,5,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,0
682,2006-12-01,40.52645,141.29813,5,52,30,3,0,8,66,3,0,0,0,7,21,0,0,31,59,0,0,0,0,79,11,0,0,0,90,0,0,0,0,89,1,0,3
683,2006-12-01,40.37086,141.08853,1,70,18,1,0,1,44,8,1,0,0,5,23,0,0,48,42,0,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,3
685,2006-12-01,40.05725,140.67302,1,76,13,0,0,0,13,0,0,0,0,0,0,0,0,41,49,0,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,3
700,2006-12-01,34.26524,134.31793,0,0,0,0,0,6,70,14,0,0,0,0,0,0,0,0,90,0,0,0,1,86,3,0,0,0,90,0,0,0,0,87,3,0,0
713,2006-12-01,46.00672,150.06848,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0,82,8,0,0,0,90,0,0,0,0,89,1,0,0
724,2006-12-01,40.40696,140.71059,1,71,18,0,0,0,13,0,0,0,0,7,48,1,0,50,40,0,0,0,0,81,9,0,0,0,90,0,0,0,0,89,1,0,3
727,2006-12-01,39.93164,140.09212,0,0,0,0,7,19,63,0,0,0,0,29,48,0,0,25,65,0,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,0
740,2006-12-01,33.52048,133.31532,0,87,2,1,0,6,68,15,1,0,0,0,0,0,0,0,89,1,0,0,2,81,7,0,0,0,90,0,0,0,0,85,5,0,3
742,2006-12-01,33.1468,132.99045,2,86,2,0,0,12,68,9,1,0,0,0,0,0,0,9,80,1,0,0,2,79,9,0,0,0,90,0,0,0,0,85,5,0,3
758,2006-12-01,0.93855,117.5714,0,0,0,0,0,0,76,13,1,0,0,0,0,0,0,0,31,59,0,0,3,86,1,0,0,0,90,0,0,0,0,90,0,0,0
762,2006-12-01,52.17063,-174.4278,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,82,8,0,0,0,83,7,0,0,0,90,0,0,0,0,89,1,0,0
774,2006-12-01,42.43258,143.1301,23,38,22,7,0,15,36,0,0,0,0,45,45,0,0,36,54,0,0,0,0,80,10,0,0,0,89,1,0,0,0,89,1,0,4
784,2006-12-01,35.16678,134.48071,0,86,4,0,0,14,76,0,0,0,0,0,0,0,0,0,90,0,0,0,0,83,7,0,0,0,90,0,0,0,0,89,1,0,3
785,2006-12-01,34.98525,134.30972,0,90,0,0,0,0,65,18,7,0,0,0,0,0,0,0,90,0,0,0,0,85,5,0,0,0,90,0,0,0,0,88,2,0,3
810,2006-12-01,1.64342,117.57775,0,0,0,0,0,0,42,11,1,0,0,0,0,0,0,0,31,51,8,0,3,86,1,0,0,0,90,0,0,0,0,90,0,0,0
823,2006-12-01,42.92421,143.41234,29,38,16,7,0,1,20,0,0,0,0,56,16,0,0,36,50,4,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,4
828,2006-12-01,41.26096,140.9989,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,1,87,2,0,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,0
840,2006-12-01,33.87015,132.96669,0,85,5,0,0,28,62,0,0,0,0,0,0,0,0,3,85,2,0,0,0,80,10,0,0,0,90,0,0,0,0,87,3,0,3
859,2006-12-01,5.073,118.35729,0,0,0,0,0,3,67,19,0,0,0,0,0,0,0,0,46,44,0,0,2,86,2,0,0,0,90,0,0,0,0,90,0,0,0
863,2006-12-01,2.06671,117.509,0,0,0,0,0,19,54,6,9,0,0,0,0,0,0,0,31,58,1,0,4,85,1,0,0,0,90,0,0,0,0,90,0,0,0
867,2006-12-01,0.94875,117.21203,0,0,0,0,0,0,66,8,0,0,0,0,0,0,0,0,31,59,0,0,4,86,0,0,0,0,90,0,0,0,0,90,0,0,0
881,2006-12-01,41.13896,140.40379,0,0,0,0,0,0,81,8,0,0,0,0,0,0,0,5,85,0,0,0,0,82,8,0,0,0,90,0,0,0,0,89,1,0,0
890,2006-12-01,32.90825,131.82942,0,88,2,0,0,18,51,21,0,0,0,0,0,0,0,4,86,0,0,0,1,81,8,0,0,0,90,0,0,0,0,85,5,0,3
893,2006-12-01,32.3317,131.36182,0,89,0,1,5,10,50,23,2,0,0,0,0,0,0,0,87,3,0,0,2,81,7,0,0,0,90,0,0,0,0,84,6,0,3
895,2006-12-01,31.94414,131.05481,0,90,0,0,0,53,37,0,0,0,0,0,0,0,0,0,76,14,0,0,4,80,6,0,0,0,90,0,0,0,0,84,6,0,3
901,2006-12-01,16.3591,122.125,0,0,0,0,8,5,72,5,0,0,0,0,0,0,0,2,68,19,1,0,1,89,0,0,0,0,90,0,0,0,0,90,0,0,0
905,2006-12-01,14.18683,121.24693,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,2,85,3,0,0,3,78,9,0,0,0,90,0,0,0,0,90,0,0,0
910,2006-12-01,12.95731,120.77753,0,0,0,0,3,15,66,6,0,0,0,0,0,0,0,0,88,2,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0
914,2006-12-01,4.94835,118.13134,0,0,0,0,0,11,55,24,0,0,0,0,0,0,0,0,43,47,0,0,1,89,0,0,0,0,90,0,0,0,0,90,0,0,0
923,2006-12-01,1.09291,117.06889,0,0,0,0,0,0,36,4,12,0,0,0,0,0,0,0,31,59,0,0,4,86,0,0,0,0,90,0,0,0,0,90,0,0,0
939,2006-12-01,35.14726,133.44249,0,88,2,0,0,36,54,0,0,0,0,0,0,0,0,0,90,0,0,0,2,82,6,0,0,0,90,0,0,0,0,89,1,0,3
947,2006-12-01,32.69456,131.34071,0,87,0,3,0,36,49,4,1,0,0,0,0,0,0,0,90,0,0,0,1,83,6,0,0,0,90,0,0,0,0,85,5,0,3
953,2006-12-01,31.52595,130.42607,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,8,82,0,0,0,0,84,6,0,0,0,90,0,0,0,0,84,6,0,0
954,2006-12-01,31.32897,130.27689,0,0,0,0,0,1,88,1,0,0,0,0,0,0,0,29,61,0,0,0,0,84,6,0,0,0,90,0,0,0,0,84,6,0,0
971,2006-12-01,4.82195,117.90593,0,0,0,0,0,9,70,0,4,0,0,0,0,0,0,0,40,50,0,0,2,88,0,0,0,0,90,0,0,0,0,90,0,0,0
972,2006-12-01,4.55096,117.82818,0,0,0,0,6,9,62,13,0,0,0,0,0,0,0,0,39,51,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0
976,2006-12-01,3.45911,117.52112,0,0,0,0,0,0,63,27,0,0,0,0,0,0,0,0,61,29,0,0,1,88,1,0,0,0,90,0,0,0,0,90,0,0,0
983,2006-12-01,1.23618,116.9254,0,0,0,0,0,0,45,30,1,0,0,0,0,0,0,0,31,59,0,0,4,85,1,0,0,0,90,0,0,0,0,90,0,0,0
1001,2006-12-01,41.51928,140.05383,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,10,80,0,0,0,0,83,7,0,0,0,90,0,0,0,0,89,1,0,0
1003,2006-12-01,35.13641,133.09662,0,90,0,0,0,7,83,0,0,0,0,0,0,0,0,0,77,10,3,0,1,79,10,0,0,0,90,0,0,0,0,88,2,0,3
1026,2006-12-01,15.69651,121.41187,0,0,0,0,2,3,70,11,4,0,0,0,0,0,0,0,90,0,0,0,9,79,2,0,0,0,90,0,0,0,0,90,0,0,0
1027,2006-12-01,15.45481,121.31487,0,0,0,0,0,19,57,11,3,0,0,0,0,0,0,0,90,0,0,0,11,74,5,0,0,0,90,0,0,0,0,90,0,0,0
1036,2006-12-01,11.7515,119.92213,0,0,0,0,0,0,83,7,0,0,0,0,0,0,0,2,88,0,0,0,0,87,3,0,0,0,90,0,0,0,0,90,0,0,0
1039,2006-12-01,5.77328,117.99339,0,0,0,0,0,25,52,13,0,0,0,0,0,0,0,0,60,30,0,0,0,90,0,0,0,0,90,0,0,0,0,90,0,0,0
1054,2006-12-01,1.65939,116.85442,0,0,0,0,0,0,13,19,0,0,0,0,0,0,0,0,32,55,3,0,2,88,0,0,0,0,90,0,0,0,0,90,0,0,0
1063,2006-12-01,43.70929,142.72864,46,29,5,10,0,0,0,0,0,0,0,0,0,0,0,0,70,17,3,0,0,79,11,0,0,0,90,0,0,0,0,90,0,0,2
1075,2006-12-01,35.12339,132.75087,0,87,2,1,0,32,37,14,7,0,0,4,29,56,0,0,62,16,9,0,0,78,12,0,0,0,90,0,0,0,0,88,2,0,3
1090,2006-12-01,17.99212,122.14766,0,0,0,0,0,0,80,7,2,0,0,0,0,0,0,0,52,16,21,0,0,85,5,0,0,0,90,0,0,0,0,90,0,0,0
1094,2006-12-01,17.04343,121.74413,0,0,0,0,0,8,31,33,0,0,0,0,0,0,0,0,74,16,0,0,9,80,1,0,0,0,90,0,0,0,0,90,0,0,0
1098,2006-12-01,16.08475,121.34958,0,0,0,0,0,31,40,9,10,0,0,0,0,0,0,0,90,0,0,0,5,84,1,0,0,0,90,0,0,0,0,90,0,0,0
1100,2006-12-01,15.60164,121.15559,0,0,0,0,0,13,73,4,0,0,0,0,0,0,0,0,90,0,0,0,11,78,1,0,0,0,90,0,0,0,0,90,0,0,0
1105,2006-12-01,10.88268,119.4156,0,0,0,0,0,0,84,6,0,0,0,0,0,0,0,0,83,7,0,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0,0
1112,2006-12-01,5.10684,117.61075,0,0,0,0,0,0,65,6,0,0,0,0,0,0,0,0,44,46,0,0,3,87,0,0,0,0,90,0,0,0,0,90,0,0,0
1118,2006-12-01,3.46844,117.15343,0,0,0,0,0,7,60,16,7,0,0,0,0,0,0,0,56,34,0,0,4,84,2,0,0,0,90,0,0,0,0,90,0,0,0
1122,2006-12-01,2.36007,116.85626,0,0,0,0,0,0,20,5,12,0,0,0,0,0,0,0,34,48,8,0,5,85,0,0,0,0,90,0,0,0,0,90,0,0,0
1131,2006-12-01,44.34706,143.24632,0,0,0,0,0,0,71,17,1,0,0,5,2,0,0,0,82,8,0,0,0,80,10,0,0,0,90,0,0,0,0,88,2,0,0
1137,2006-12-01,43.45339,141.87482,44,23,15,8,0,0,0,0,0,0,0,19,51,6,0,0,69,13,8,0,0,80,10,0,0,0,90,0,0,0,0,89,1,0,1
1158,2006-12-01,17.90355,121.88356,0,0,0,0,0,12,78,0,0,0,0,0,0,0,0,0,57,29,4,0,0,86,4,0,0,0,90,0,0,0,0,90,0,0,0
1162,2006-12-01,16.95161,121.48343,0,0,0,0,0,22,34,16,9,0,0,0,0,0,0,0,90,0,0,0,12,77,1,0,0,0,90,0,0,0,0,90,0,0,0
1169,2006-12-01,15.26165,120.80451,0,0,0,0,2,9,40,26,13,0,0,0,0,0,0,0,90,0,0,0,14,75,1,0,0,0,90,0,0,0,0,90,0,0,0
1180,2006-12-01,4.15869,117.15723,0,0,0,0,0,7,67,16,0,0,0,0,0,0,0,0,55,35,0,0,2,86,2,0,0,0,90,0,0,0,0,90,0,0,0
1186,2006-12-01,2.50078,116.71084,0,0,0,0,0,0,19,7,7,0,0,0,0,0,0,0,35,45,10,0,5,85,0,0,0,0,90,0,0,0,0,90,0,0,0
1187,2006-12-01,2.2216,116.63776,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,34,45,11,0,4,86,0,0,0,0,90,0,0,0,0,90,0,0,0
1211,2006-12-01,42.40375,139.94408,20,31,27,12,0,2,80,7,0,0,0,0,0,0,0,18,64,8,0,0,0,81,9,0,0,0,90,0,0,0,0,90,0,0,0
1214,2006-12-01,34.13977,131.25385,0,90,0,0,0,1,89,0,0,0,0,0,0,0,0,2,81,2,5,0,0,85,5,0,0,0,90,0,0,0,0,88,2,0,3
1226,2006-12-01,16.85798,121.2233,0,0,0,0,0,6,75,3,0,0,0,0,0,0,0,0,90,0,0,0,7,81,2,0,0,0,90,0,0,0,0,90,0,0,0
1245,2006-12-01,4.84509,117.16109,0,0,0,0,0,0,49,13,0,0,0,0,0,0,0,0,41,49,0,0,8,82,0,0,0,0,90,0,0,0,0,90,0,0,0
1251,2006-12-01,3.19657,116.71178,0,0,0,0,0,0,5,1,7,0,0,0,0,0,0,0,44,46,0,0,6,83,1,0,0,0,90,0,0,0,0,90,0,0,0
1263,2006-12-01,53.43754,-168.05582,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,79,11,0,0,0,84,6,0,0,0,90,0,0,0,0,90,0,0,0
1277,2006-12-01,33.14309,130.13904,0,0,0,0,0,19,71,0,0,0,0,0,0,0,0,0,87,3,0,0,2,85,3,0,0,0,90,0,0,0,0,86,4,0,0
1282,2006-12-01,17.72096,121.35709,0,0,0,0,0,3,46,33,8,0,0,0,0,0,0,0,90,0,0,0,12,76,2,0,0,0,90,0,0,0,0,90,0,0,0
1283,2006-12-01,17.48228,121.25791,0,0,0,0,0,3,65,7,14,0,0,0,0,0,0,0,90,0,0,0,12,76,2,0,0,0,90,0,0,0,0,90,0,0,0
1291,2006-12-01,15.55053,120.48444,0,0,0,0,0,19,70,1,0,0,0,0,0,0,0,0,90,0,0,0,15,74,1,0,0,0,90,0,0,0,0,90,0,0,0
1294,2006-12-01,14.81576,120.20324,0,0,0,0,0,24,54,12,0,0,0,0,0,0,0,0,87,3,0,0,5,85,0,0,0,0,90,0,0,0,0,90,0,0,0
1301,2006-12-01,5.52774,117.16499,0,0,0,0,0,0,53,3,8,0,0,0,0,0,0,0,51,39,0,0,4,85,1,0,0,0,90,0,0,0,0,90,0,0,0
1307,2006-12-01,3.88839,116.71272,0,0,0,0,0,0,49,30,1,0,0,0,0,0,0,0,50,40,0,0,6,81,3,0,0,0,90,0,0,0,0,90,0,0,0
1312,2006-12-01,2.50034,116.34637,0,0,0,0,0,0,22,7,7,0,0,0,0,0,0,0,40,37,13,0,5,85,0,0,0,0,90,0,0,0,0,90,0,0,0
1313,2006-12-01,2.22026,116.27422,0,0,0,0,0,0,24,5,2,0,0,0,0,0,0,0,39,37,14,0,4,86,0,0,0,0,90,0,0,0,0,90,0,0,0
1321,2006-12-01,53.51503,-166.92442,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,74,16,0,0,0,84,6,0,0,0,90,0,0,0,0,90,0,0,0
