index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_minus3,fw_fw_06_swe_minus2,fw_fw_06_swe_minus1,fw_fw_06_swe_plus1,fw_fw_06_swe_plus2,swe_swe_average_minus3,swe_swe_average_minus2,swe_swe_average_minus1,swe_swe_average_plus1,swe_swe_average_plus2,energy_sw_up_minus3,energy_sw_up_minus2,energy_sw_up_minus1,energy_sw_up_plus1,energy_sw_up_plus2,energy_sw_dn_minus3,energy_sw_dn_minus2,energy_sw_dn_minus1,energy_sw_dn_plus1,energy_sw_dn_plus2,energy_lw_up_minus3,energy_lw_up_minus2,energy_lw_up_minus1,energy_lw_up_plus1,energy_lw_up_plus2,energy_lw_dn_minus3,energy_lw_dn_minus2,energy_lw_dn_minus1,energy_lw_dn_plus1,energy_lw_dn_plus2,clusterLabel
448,1995-09-01,35.10822,137.59471,0,91,0,0,0,1,52,18,13,0,0,0,0,0,0,0,63,22,6,0,6,70,15,0,0,0,91,0,0,0,0,89,2,0,0
455,1995-09-01,11.53144,122.5532,0,0,0,0,0,28,47,7,8,0,0,0,0,0,0,0,76,15,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
465,1995-09-01,37.78785,140.26003,0,91,0,0,0,0,42,30,18,0,0,0,0,0,0,0,60,16,15,0,0,76,15,0,0,0,91,0,0,0,0,89,2,0,0
468,1995-09-01,37.30291,139.67416,0,91,0,0,0,3,85,0,0,0,0,0,0,0,0,0,61,19,11,0,1,73,17,0,0,0,91,0,0,0,0,88,3,0,0
495,1995-09-01,1.00641,118.86716,0,0,0,0,7,21,60,2,0,0,0,0,0,0,0,0,63,28,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
505,1995-09-01,37.98058,140.0957,0,91,0,0,0,0,49,24,15,0,0,0,0,0,0,0,61,15,15,0,0,75,16,0,0,0,91,0,0,0,0,89,2,0,0
506,1995-09-01,37.81928,139.89909,0,91,0,0,0,0,66,17,8,0,0,0,0,0,0,0,61,15,15,0,0,74,17,0,0,0,91,0,0,0,0,88,3,0,0
521,1995-09-01,35.30959,137.08257,0,0,0,0,0,8,68,15,0,0,0,0,0,0,0,0,57,25,9,0,1,75,15,0,0,0,91,0,0,0,0,89,2,0,1
528,1995-09-01,33.90434,135.67802,0,91,0,0,0,23,48,10,5,0,0,0,0,0,0,0,64,15,11,0,0,74,17,0,0,0,91,0,0,0,0,89,2,0,0
538,1995-09-01,39.28292,141.34019,0,91,0,0,0,7,83,1,0,0,0,0,0,0,0,0,60,24,7,0,2,76,13,0,0,0,91,0,0,0,0,88,3,0,0
545,1995-09-01,38.17268,139.93024,0,91,0,0,0,0,78,13,0,0,0,0,0,0,0,0,62,16,13,0,1,72,18,0,0,0,91,0,0,0,0,89,2,0,0
547,1995-09-01,37.84848,139.53777,0,90,1,0,0,2,39,18,17,0,0,0,0,0,0,0,65,15,11,0,2,72,17,0,0,0,91,0,0,0,0,89,2,0,0
553,1995-09-01,36.85765,138.38739,0,91,0,0,0,0,62,2,12,0,0,0,0,0,0,4,62,18,7,0,2,73,16,0,0,0,91,0,0,0,0,89,2,0,0
564,1995-09-01,34.97226,136.38036,0,91,0,0,5,12,70,4,0,0,0,0,0,0,0,0,63,20,8,0,0,75,16,0,0,0,91,0,0,0,0,89,2,0,0
574,1995-09-01,1.03258,118.50776,0,0,0,0,0,41,37,12,0,0,0,0,0,0,0,0,48,43,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
577,1995-09-01,39.63329,141.38156,0,91,0,0,0,8,52,6,8,0,0,0,0,0,0,0,62,21,8,0,1,76,14,0,0,0,91,0,0,0,0,88,3,0,0
584,1995-09-01,38.52555,139.96179,0,91,0,0,0,5,42,4,22,0,0,0,0,0,0,0,66,14,11,0,2,69,20,0,0,0,91,0,0,0,0,88,3,0,0
586,1995-09-01,38.20203,139.56665,0,87,3,1,0,1,51,21,17,0,0,0,0,0,0,0,66,16,9,0,2,68,21,0,0,0,91,0,0,0,0,88,3,0,0
596,1995-09-01,36.53906,137.65889,0,91,0,0,0,0,49,0,0,0,0,0,0,0,0,0,68,21,2,0,3,74,14,0,0,0,91,0,0,0,0,89,2,0,0
617,1995-09-01,39.98313,141.42348,0,91,0,0,0,3,88,0,0,0,0,2,1,1,0,0,62,21,8,0,2,74,15,0,0,0,91,0,0,0,0,88,3,0,0
635,1995-09-01,35.51472,136.21887,0,90,1,0,0,4,58,8,9,0,0,0,0,0,0,0,67,16,8,0,1,74,16,0,0,0,91,0,0,0,0,89,2,0,0
648,1995-09-01,40.1773,141.25661,0,91,0,0,0,10,81,0,0,0,0,0,0,0,0,0,65,18,8,0,2,73,16,0,0,0,91,0,0,0,0,88,3,0,0
661,1995-09-01,35.87294,136.22633,0,89,2,0,1,15,58,8,0,0,0,0,0,0,0,4,66,15,6,0,2,74,15,0,0,0,91,0,0,0,0,88,3,0,0
670,1995-09-01,33.90434,134.32198,0,91,0,0,10,42,34,0,0,0,0,0,0,0,0,0,56,25,10,0,1,74,16,0,0,0,91,0,0,0,0,88,3,0,0
681,1995-09-01,43.18458,145.2869,0,0,0,0,19,23,47,0,0,0,0,0,0,0,0,0,74,13,4,0,10,63,18,0,0,0,91,0,0,0,0,89,2,0,1
682,1995-09-01,40.52645,141.29813,0,85,6,0,0,20,68,3,0,0,0,0,0,0,0,0,69,18,4,0,4,71,16,0,0,0,91,0,0,0,0,88,3,0,0
683,1995-09-01,40.37086,141.08853,0,91,0,0,0,4,82,5,0,0,0,0,0,0,0,0,68,15,8,0,3,73,15,0,0,0,91,0,0,0,0,88,3,0,0
685,1995-09-01,40.05725,140.67302,0,91,0,0,0,9,74,4,1,0,0,0,0,0,0,0,71,13,7,0,0,77,14,0,0,0,91,0,0,0,0,88,3,0,0
700,1995-09-01,34.26524,134.31793,0,0,0,0,0,0,72,13,1,0,0,0,0,0,0,0,55,26,10,0,0,76,15,0,0,0,91,0,0,0,0,88,3,0,1
713,1995-09-01,46.00672,150.06848,0,0,0,0,1,6,70,14,0,0,0,0,0,0,0,7,74,8,2,0,10,60,21,0,0,0,91,0,0,0,0,89,2,0,1
724,1995-09-01,40.40696,140.71059,0,91,0,0,0,0,88,3,0,0,0,0,0,0,0,0,71,15,5,0,1,73,17,0,0,0,91,0,0,0,0,88,3,0,0
727,1995-09-01,39.93164,140.09212,0,0,0,0,1,6,62,7,3,0,0,39,9,7,0,1,79,10,1,0,2,72,17,0,0,0,91,0,0,0,0,88,3,0,1
740,1995-09-01,33.52048,133.31532,0,91,0,0,12,8,46,11,14,0,0,0,0,0,0,0,58,18,13,0,5,69,17,0,0,0,91,0,0,0,0,87,4,0,0
742,1995-09-01,33.1468,132.99045,0,91,0,0,0,23,62,4,2,0,0,0,0,0,0,0,59,17,11,0,2,74,15,0,0,0,91,0,0,0,0,85,6,0,0
758,1995-09-01,0.93855,117.5714,0,0,0,0,0,23,55,8,3,0,0,0,0,0,0,0,60,31,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
762,1995-09-01,52.17063,-174.4278,0,0,0,0,0,8,62,20,1,0,0,0,0,0,0,2,74,15,0,0,12,57,22,0,0,0,91,0,0,0,0,91,0,0,1
774,1995-09-01,42.43258,143.1301,0,90,0,1,2,8,76,5,0,0,0,34,6,7,0,0,59,18,11,0,6,67,18,0,0,0,91,0,0,0,0,88,3,0,0
784,1995-09-01,35.16678,134.48071,0,91,0,0,3,28,48,3,1,0,0,0,0,0,0,0,74,14,2,0,0,77,14,0,0,0,91,0,0,0,0,88,3,0,0
785,1995-09-01,34.98525,134.30972,0,89,0,2,0,22,65,4,0,0,0,0,0,0,0,0,67,15,9,0,0,76,15,0,0,0,91,0,0,0,0,88,3,0,0
810,1995-09-01,1.64342,117.57775,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,65,26,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
823,1995-09-01,42.92421,143.41234,0,88,0,3,11,14,52,11,1,0,0,0,0,0,0,0,61,18,11,0,7,67,17,0,0,0,91,0,0,0,0,88,3,0,0
828,1995-09-01,41.26096,140.9989,0,0,0,0,1,12,60,15,3,0,0,0,0,0,0,7,81,3,0,0,7,64,20,0,0,0,91,0,0,0,0,89,2,0,1
840,1995-09-01,33.87015,132.96669,0,90,1,0,0,6,62,16,7,0,0,0,0,0,0,0,59,17,15,0,1,72,18,0,0,0,91,0,0,0,0,86,5,0,0
859,1995-09-01,5.073,118.35729,0,0,0,0,3,18,60,9,0,0,0,0,0,0,0,0,33,58,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
863,1995-09-01,2.06671,117.509,0,0,0,0,0,34,51,0,0,0,0,0,0,0,0,0,64,27,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,1
867,1995-09-01,0.94875,117.21203,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,66,25,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
881,1995-09-01,41.13896,140.40379,0,0,0,0,0,6,59,18,7,0,0,0,0,0,0,5,76,10,0,0,5,64,22,0,0,0,91,0,0,0,0,89,2,0,1
890,1995-09-01,32.90825,131.82942,0,86,5,0,10,16,49,15,0,0,0,0,0,0,0,0,57,26,8,0,2,74,15,0,0,0,91,0,0,0,0,85,6,0,0
893,1995-09-01,32.3317,131.36182,0,90,1,0,8,45,27,10,0,0,0,0,0,0,0,0,59,24,8,0,3,77,11,0,0,0,91,0,0,0,0,85,6,0,0
895,1995-09-01,31.94414,131.05481,0,91,0,0,2,23,59,7,0,0,0,0,0,0,0,0,60,22,7,0,2,79,10,0,0,0,91,0,0,0,0,85,6,0,0
901,1995-09-01,16.3591,122.125,0,0,0,0,4,25,17,32,13,0,0,0,0,0,0,0,31,60,0,0,0,85,6,0,0,0,91,0,0,0,0,91,0,0,1
905,1995-09-01,14.18683,121.24693,0,0,0,0,0,18,73,0,0,0,0,0,0,0,0,0,44,44,3,0,1,89,1,0,0,0,91,0,0,0,0,91,0,0,1
910,1995-09-01,12.95731,120.77753,0,0,0,0,5,3,76,7,0,0,0,0,0,0,0,1,58,31,1,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
