index,lat,lon
430,38.3851,141.42107
431,37.91309,140.81897
432,37.75418,140.62053
433,37.5945,140.42322
434,37.43404,140.22702
435,37.27281,140.03194
436,37.11081,139.83795
437,36.94805,139.64508
438,36.78452,139.45329
439,36.62024,139.2626
440,36.45521,139.07301
441,36.28942,138.88449
442,36.12289,138.69705
443,35.95562,138.51068
444,35.78761,138.32538
445,35.61885,138.14113
446,35.44937,137.95795
447,35.27916,137.7758
448,35.10822,137.59471
449,34.93655,137.41466
450,34.76416,137.23564
451,34.41724,136.88068
452,13.95047,123.53782
453,13.7116,123.437
454,13.47207,123.33671
455,11.53144,122.5532
456,11.28578,122.45756
457,11.03943,122.36242
458,10.79237,122.26778
459,38.73673,141.46227
460,38.58055,141.25903
461,38.42358,141.05695
462,38.26582,140.85602
463,38.10728,140.65622
464,37.94795,140.45755
465,37.78785,140.26003
466,37.62697,140.06361
467,37.46532,139.86833
468,37.30291,139.67416
469,37.13973,139.48111
470,36.9758,139.28915
471,36.8111,139.0983
472,36.64566,138.90854
473,36.47947,138.71988
474,36.31253,138.53229
475,36.14486,138.34579
476,35.97644,138.16035
477,35.80729,137.976
478,35.63741,137.79271
479,35.46679,137.61046
480,35.29546,137.42928
481,35.12339,137.24913
482,34.95061,137.07004
483,34.42799,136.53893
484,34.25236,136.36392
485,34.07603,136.18994
486,33.89899,136.01698
487,33.72126,135.84502
488,33.54283,135.67404
489,13.86914,123.28444
490,13.62945,123.18438
491,11.44184,122.30733
492,11.19535,122.21243
493,10.94817,122.11802
494,10.70029,122.02411
495,1.00641,118.86716
496,39.39703,141.91684
497,39.24282,141.70984
498,39.08781,141.50401
499,38.932,141.29935
500,38.7754,141.09586
501,38.618,140.89352
502,38.45982,140.69235
503,38.30085,140.49232
504,38.1411,140.29344
505,37.98058,140.0957
506,37.81928,139.89909
507,37.65721,139.70361
508,37.49438,139.50926
509,37.33079,139.31602
510,37.16644,139.1239
511,37.00134,138.93289
512,36.83548,138.74298
513,36.66888,138.55418
514,36.50154,138.36646
515,36.33345,138.17982
516,36.16463,137.99428
517,35.99508,137.80981
518,35.82479,137.6264
519,35.65378,137.44406
520,35.48204,137.26279
521,35.30959,137.08257
522,35.13641,136.90338
523,34.78792,136.54816
524,34.61261,136.37209
525,34.43659,136.19705
526,34.25988,136.02303
527,34.08245,135.85002
528,33.90434,135.67802
529,33.72552,135.50703
530,13.78602,123.03152
531,11.59708,122.15661
532,11.35045,122.06194
533,1.15855,118.72613
534,0.88134,118.64892
535,39.74682,141.96205
536,39.59299,141.75357
537,39.43835,141.5463
538,39.28292,141.34019
539,39.12667,141.13527
540,38.96964,140.93153
541,38.81182,140.72896
542,38.6532,140.52754
543,38.49381,140.32729
544,38.33363,140.12819
545,38.17268,139.93024
546,38.01096,139.73344
547,37.84848,139.53777
548,37.68523,139.34325
549,37.52122,139.14984
550,37.35645,138.95755
551,37.19093,138.76639
552,37.02466,138.57634
553,36.85765,138.38739
554,36.68989,138.19954
555,36.5214,138.01279
556,36.35217,137.82712
557,36.18221,137.64255
558,36.01152,137.45905
559,35.84011,137.27661
560,35.66797,137.09525
561,35.49511,136.91495
562,35.32154,136.7357
563,35.14726,136.55751
564,34.97226,136.38036
565,34.79656,136.20424
566,34.62016,136.02916
567,34.44305,135.8551
568,34.26524,135.68207
569,34.08674,135.51004
570,33.90754,135.33902
571,13.94179,122.87814
572,13.21774,122.58256
573,1.30981,118.58472
574,1.03258,118.50776
575,39.94263,141.79788
576,39.78836,141.58913
577,39.63329,141.38156
578,39.47741,141.17519
579,39.32074,140.97002
580,39.16327,140.76602
581,39.00502,140.5632
582,38.84597,140.36157
583,38.68615,140.1611
584,38.52555,139.96179
585,38.36417,139.76364
586,38.20203,139.56665
587,38.03911,139.3708
588,37.87544,139.17609
589,37.71101,138.98251
590,37.54582,138.79008
591,37.37989,138.59877
592,37.2132,138.40857
593,37.04577,138.2195
594,36.87761,138.03152
595,36.7087,137.84465
596,36.53906,137.65889
597,36.36869,137.4742
598,36.19759,137.2906
599,36.02578,137.10809
600,35.85324,136.92665
601,35.67998,136.74628
602,35.50601,136.56697
603,35.33133,136.38872
604,35.15593,136.21152
605,34.97984,136.03535
606,34.80304,135.86023
607,34.62554,135.68614
608,34.44735,135.51308
609,34.26846,135.34105
610,34.08888,135.17001
611,14.09674,122.72421
612,13.61439,122.52711
613,12.39684,122.04352
614,1.18295,118.36621
615,0.90484,118.28987
616,40.13784,141.63251
617,39.98313,141.42348
618,39.82762,141.21564
619,39.67131,141.009
620,39.51419,140.80357
621,39.35629,140.59933
622,39.1976,140.39629
623,39.03812,140.19443
624,38.87786,139.99374
625,38.71684,139.79424
626,38.55503,139.59589
627,36.89535,137.67543
628,36.7253,137.48955
629,36.55452,137.30478
630,36.38301,137.12109
631,36.21078,136.93851
632,36.03784,136.75699
633,35.86418,136.57655
634,35.68981,136.39719
635,35.51472,136.21887
636,35.16245,135.86543
637,34.98525,135.69028
638,34.80736,135.51616
639,33.90754,134.66098
640,33.72552,134.49297
641,33.35946,134.15994
642,14.25088,122.56976
643,14.00988,122.47119
644,13.76821,122.37315
645,1.33244,118.22429
646,1.05432,118.1482
647,40.33245,141.46593
648,40.1773,141.25661
649,40.02134,141.04851
650,39.86459,140.84161
651,39.70704,140.63594
652,39.54869,140.43147
653,39.38956,140.2282
654,39.22965,140.02611
655,37.92265,138.45175
656,36.73969,137.13426
657,36.56777,136.9505
658,36.39513,136.76782
659,36.22178,136.58624
660,36.04771,136.40575
661,35.87294,136.22633
662,35.69745,136.04797
663,35.52126,135.8707
664,35.34437,135.69446
665,35.16678,135.51929
666,34.9885,135.34515
667,34.80952,135.17206
668,34.62985,135.0
669,34.08674,134.48996
670,33.90434,134.32198
671,33.72126,134.15498
672,33.53751,133.989
673,14.16305,122.31645
674,13.92122,122.21867
675,13.43559,122.02467
676,5.28808,119.1846
677,1.48104,118.08199
678,1.20291,118.00615
679,0.92391,117.93069
680,51.80768,-176.55262
681,43.18458,145.2869
682,40.52645,141.29813
683,40.37086,141.08853
684,40.21445,140.88016
685,40.05725,140.67302
686,39.89926,140.4671
687,39.74048,140.26239
688,39.58091,140.0589
689,36.92419,136.96263
690,36.75186,136.77879
691,36.57881,136.59607
692,36.40505,136.41443
693,36.23058,136.23387
694,36.05539,136.0544
695,35.52562,135.52245
696,35.34763,135.34724
697,35.16895,135.1731
698,34.98958,135.0
699,34.80952,134.82794
700,34.26524,134.31793
701,34.08245,134.14998
702,33.89899,133.98302
703,33.71486,133.81706
704,33.53006,133.65211
705,13.83078,121.96664
706,12.60761,121.48939
707,12.36097,121.39547
708,5.16962,118.95721
709,1.62878,117.93931
710,1.35062,117.86372
711,1.07161,117.78852
712,0.79174,117.71368
713,46.00672,150.06848
714,45.8849,149.80838
715,45.38765,148.7816
716,43.38623,145.12466
717,43.24543,144.89162
718,43.10374,144.6599
719,42.23521,143.29715
720,42.08744,143.07458
721,40.87509,141.34019
722,40.71985,141.12907
723,40.5638,140.91922
724,40.40696,140.71059
725,40.24931,140.5032
726,40.09087,140.29704
727,39.93164,140.09212
728,37.45136,137.16109
729,37.28005,136.97493
730,37.10803,136.78992
731,35.5278,135.17415
732,35.34872,135.0
733,35.16895,134.8269
734,34.9885,134.65485
735,34.80736,134.48384
736,34.25988,133.97697
737,34.07603,133.81006
738,33.89151,133.64413
739,33.70633,133.47923
740,33.52048,133.31532
741,33.33397,133.15239
742,33.1468,132.99045
743,32.95897,132.82948
744,28.25838,129.24304
745,13.982,121.81136
746,13.00419,121.42957
747,12.75807,121.3354
748,12.51129,121.24174
749,12.26384,121.14858
750,5.31703,118.81079
751,5.04941,118.73035
752,4.51182,118.5707
753,2.32945,117.94804
754,2.05296,117.87196
755,1.77563,117.79625
756,1.49746,117.72092
757,1.21843,117.64597
758,0.93855,117.5714
759,0.6578,117.49719
760,0.37619,117.42335
761,0.09369,117.34988
762,52.17063,-174.4278
763,45.21112,147.86917
764,45.08096,147.61932
765,44.28013,146.14899
766,43.58733,144.96111
767,43.44606,144.72758
768,43.3039,144.49538
769,43.16086,144.26453
770,43.01695,144.03499
771,42.87215,143.80679
772,42.72649,143.57991
773,42.57996,143.35435
774,42.43258,143.1301
775,42.28435,142.90717
776,41.22322,141.38283
777,40.91264,140.95879
778,40.75614,140.74866
779,40.59884,140.53979
780,40.44074,140.33215
781,40.28186,140.12576
782,35.5278,134.82585
783,35.34763,134.65276
784,35.16678,134.48071
785,34.98525,134.30972
786,34.80304,134.13977
787,34.62016,133.97084
788,34.43659,133.80295
789,33.8819,133.30536
790,33.69567,133.14149
791,33.50878,132.97864
792,33.32124,132.81676
793,33.13303,132.65587
794,31.60402,131.40329
795,30.43038,130.50285
796,14.85935,121.9466
797,14.13241,121.65555
798,13.88879,121.55959
799,13.15398,121.2748
800,12.90772,121.1809
801,12.66079,121.0875
802,12.41319,120.99461
803,5.46358,118.66396
804,5.19589,118.58378
805,4.65819,118.42465
806,4.38816,118.3457
807,2.47548,117.80408
808,2.19896,117.72826
809,1.92161,117.65282
810,1.64342,117.57775
811,1.36437,117.50306
812,1.08448,117.42874
813,0.80372,117.35479
814,0.52209,117.28121
815,0.23959,117.20799
816,43.92872,145.03157
817,43.78787,144.7962
818,43.64613,144.56219
819,43.50351,144.32954
820,43.35999,144.09824
821,43.21561,143.86826
822,43.07034,143.63963
823,42.92421,143.41234
824,42.77722,143.18639
825,42.62937,142.96175
826,42.48067,142.73843
827,42.33112,142.51645
828,41.26096,140.9989
829,40.94786,140.57686
830,40.7901,140.36774
831,40.63155,140.15987
832,40.47221,139.95326
833,35.52562,134.47755
834,35.34437,134.30554
835,35.16245,134.13457
836,34.97984,133.96465
837,34.79656,133.79576
838,34.61261,133.62791
839,34.42799,133.46107
840,33.87015,132.96669
841,33.68288,132.80389
842,33.49495,132.64209
843,33.30637,132.48128
844,32.16128,131.53676
845,31.96818,131.38266
846,31.77444,131.22951
847,31.58007,131.07729
848,31.38506,130.92598
849,31.18942,130.7756
850,14.52513,121.59544
851,14.282,121.49921
852,14.03822,121.40352
853,13.79379,121.30834
854,13.30295,121.11954
855,13.05654,121.0259
856,12.80946,120.93277
857,5.60928,118.51671
858,5.34153,118.4368
859,5.073,118.35729
860,4.53361,118.19951
861,2.62064,117.65974
862,2.34409,117.58418
863,2.06671,117.509
864,1.7885,117.4342
865,1.50944,117.35977
866,1.22952,117.28571
867,0.94875,117.21203
868,0.66712,117.13871
869,0.38461,117.06575
870,0.10123,116.99316
871,43.84564,144.39546
872,43.70254,144.16235
873,43.55856,143.93059
874,43.4137,143.7002
875,43.26796,143.47115
876,43.12136,143.24345
877,42.97389,143.01709
878,42.82557,142.79208
879,42.6764,142.56839
880,42.52638,142.34604
881,41.13896,140.40379
882,35.52126,134.1293
883,35.33894,133.95837
884,35.15593,133.78848
885,34.97226,133.61964
886,34.78792,133.45184
887,34.60291,133.28506
888,34.41724,133.11932
889,34.2309,132.95459
890,32.90825,131.82942
891,32.7167,131.67259
892,32.52452,131.51672
893,32.3317,131.36182
894,32.13823,131.20784
895,31.94414,131.05481
896,31.74941,130.90271
897,31.55404,130.75154
898,17.07173,122.42755
899,16.83481,122.32614
900,16.59727,122.22529
901,16.3591,122.125
902,14.91671,121.53479
903,14.67407,121.43831
904,14.43077,121.34235
905,14.18683,121.24693
906,13.94224,121.15202
907,13.697,121.05763
908,13.4511,120.96375
909,13.20453,120.87039
910,12.95731,120.77753
911,5.75412,118.36905
912,5.4863,118.28941
913,5.21771,118.21017
914,4.94835,118.13134
915,4.67821,118.05292
916,4.40728,117.9749
917,2.76493,117.51502
918,2.48835,117.43973
919,2.21094,117.36481
920,1.9327,117.29028
921,1.65362,117.21611
922,1.37369,117.14232
923,1.09291,117.06889
924,0.81126,116.99584
925,0.52875,116.92314
926,0.24536,116.85081
927,43.90101,143.99379
928,43.75655,143.7616
929,43.61121,143.53076
930,43.465,143.3013
931,43.31792,143.07321
932,43.16998,142.84647
933,43.02119,142.62108
934,42.87155,142.39703
935,42.72106,142.17433
936,42.56973,141.95296
937,41.80065,140.86597
938,35.33133,133.61128
939,35.14726,133.44249
940,34.96252,133.27475
941,34.77712,133.10803
942,34.59106,132.94235
943,34.40434,132.77769
944,34.21696,132.61406
945,33.07903,131.65318
946,32.88712,131.49648
947,32.69456,131.34071
948,32.50138,131.18593
949,32.30756,131.03209
950,32.1131,130.87918
951,31.91801,130.72722
952,31.72229,130.57619
953,31.52595,130.42607
954,31.32897,130.27689
955,17.22163,122.26719
956,16.98453,122.16605
957,16.7468,122.06546
958,16.50844,121.96544
959,16.26946,121.86597
960,15.065,121.37686
961,14.82219,121.28065
962,14.57873,121.18497
963,14.33463,121.08982
964,14.08988,120.99519
965,13.84448,120.90107
966,13.35171,120.71438
967,12.10822,120.25644
968,5.63022,118.1416
969,5.36157,118.06264
970,5.09215,117.98409
971,4.82195,117.90593
