index,start_date,lat,lon,P0.1_N1_Q0.1_V[ALL]_C15
76801,1996-06-01,43.0406,76.58129,0
76817,1996-06-01,38.69069,77.66886,0
76840,1996-06-01,32.98857,78.82902,3
76860,1996-06-01,27.88445,79.67561,0
76862,1996-06-01,27.36589,79.75334,0
76864,1996-06-01,26.84578,79.82992,0
76876,1996-06-01,23.69114,80.26661,0
76877,1996-06-01,23.42554,80.30134,1
76880,1996-06-01,22.62611,80.40404,1
76887,1996-06-01,20.74518,80.6355,1
76888,1996-06-01,20.47464,80.66767,1
76899,1996-06-01,17.46694,81.00756,1
76912,1996-06-01,22.8473,-80.16911,1
76924,1996-06-01,36.67386,-77.85261,0
76929,1996-06-01,37.90297,-77.58256,0
76948,1996-06-01,42.50472,-76.43895,0
76962,1996-06-01,45.82887,-75.45479,0
76963,1996-06-01,46.06421,-75.37913,0
76968,1996-06-01,47.23681,-74.98892,0
76972,1996-06-01,48.16994,-74.6618,0
76979,1996-06-01,49.79238,-74.0546,0
76981,1996-06-01,50.25347,-73.87242,0
76985,1996-06-01,51.63015,-73.30076,0
76999,1996-06-01,54.80337,-71.80083,1
77000,1996-06-01,55.02789,-71.68368,1
77005,1996-06-01,56.1461,-71.07535,0
77024,1996-06-01,63.11124,-66.03751,1
77035,1996-06-01,66.4418,-62.44719,3
77046,1996-06-01,71.33778,54.38151,0
77062,1996-06-01,66.03239,62.9494,0
77064,1996-06-01,65.62086,63.43495,0
77097,1996-06-01,58.57944,69.59012,0
77102,1996-06-01,57.47805,70.29202,1
77109,1996-06-01,55.92305,71.20011,0
77111,1996-06-01,55.47606,71.44493,2
77113,1996-06-01,55.02789,71.68368,0
77128,1996-06-01,51.63015,73.30076,2
77136,1996-06-01,49.79238,74.0546,2
77137,1996-06-01,49.56142,74.14419,2
77158,1996-06-01,44.41097,75.89319,2
77170,1996-06-01,41.54476,76.69657,2
77199,1996-06-01,34.44143,78.31063,3
77208,1996-06-01,32.18224,78.73579,3
77210,1996-06-01,31.67642,78.82616,3
77212,1996-06-01,31.1692,78.91511,3
77213,1996-06-01,30.91506,78.95906,2
77219,1996-06-01,29.38261,79.2157,0
77252,1996-06-01,20.70013,80.4399,1
77255,1996-06-01,19.88734,80.53768,1
77270,1996-06-01,7.41307,81.77327,1
77283,1996-06-01,34.88734,-77.97331,0
77295,1996-06-01,37.84848,-77.33212,0
77335,1996-06-01,47.4069,-74.60879,0
77341,1996-06-01,48.80156,-74.09861,0
77356,1996-06-01,52.47173,-72.56236,0
77366,1996-06-01,54.7288,-71.4474,0
77369,1996-06-01,55.40023,-71.0856,0
77384,1996-06-01,58.71581,-69.05253,0
77385,1996-06-01,61.95549,-66.55707,6
77389,1996-06-01,63.43764,-65.19059,1
77404,1996-06-01,71.93319,52.12501,1
77416,1996-06-01,67.94165,59.74356,0
77464,1996-06-01,57.83865,69.63446,0
77483,1996-06-01,53.60388,72.02158,2
77491,1996-06-01,51.78903,72.87195,2
77516,1996-06-01,45.53181,75.24127,2
77519,1996-06-01,44.82404,75.46554,0
77532,1996-06-01,41.72752,76.36489,2
77541,1996-06-01,39.55502,76.92608,13
77557,1996-06-01,35.63195,77.81908,3
77581,1996-06-01,29.58945,78.95369,0
77584,1996-06-01,28.81974,79.08101,0
77586,1996-06-01,28.30472,79.16429,0
77596,1996-06-01,25.70625,79.56252,1
77600,1996-06-01,24.65558,79.71383,0
77605,1996-06-01,23.33277,79.89696,1
77621,1996-06-01,19.02474,80.44191,1
77630,1996-06-01,16.5473,80.7236,1
77634,1996-06-01,7.36969,81.60431,1
77635,1996-06-01,7.07242,81.62916,1
77642,1996-06-01,22.48637,-79.80401,1
77647,1996-06-01,34.83383,-77.73523,0
77662,1996-06-01,38.52555,-76.9081,0
77664,1996-06-01,39.01244,-76.78946,3
77665,1996-06-01,39.25542,-76.72935,1
77683,1996-06-01,43.57815,-75.54757,0
77687,1996-06-01,44.52593,-75.25644,0
77701,1996-06-01,47.80748,-74.14063,0
77708,1996-06-01,49.4276,-73.51873,0
77709,1996-06-01,49.65792,-73.42599,0
77715,1996-06-01,51.03393,-72.84758,1
77719,1996-06-01,51.9456,-72.43973,0
77730,1996-06-01,54.42886,-71.21498,0
77736,1996-06-01,55.76823,-70.47499,0
77738,1996-06-01,56.21223,-70.21572,0
77746,1996-06-01,57.97555,-69.10917,2
77747,1996-06-01,58.19449,-68.96248,0
77785,1996-06-01,65.00081,62.96914,0
77787,1996-06-01,64.58844,63.43495,0
77793,1996-06-01,63.33963,64.74683,0
77795,1996-06-01,62.91968,65.15761,1
77797,1996-06-01,62.49797,65.55604,0
77800,1996-06-01,61.86225,66.13167,0
77827,1996-06-01,55.99038,70.34617,2
77840,1996-06-01,53.07873,71.90274,2
77864,1996-06-01,47.57492,74.22576,2
77870,1996-06-01,45.46917,74.9536,0
77871,1996-06-01,45.23379,75.03045,0
77881,1996-06-01,42.86429,75.75864,2
77884,1996-06-01,42.14782,75.96375,2
77888,1996-06-01,41.18844,76.2284,2
77894,1996-06-01,39.74048,76.6075,3
77901,1996-06-01,38.03743,77.02466,3
77908,1996-06-01,36.31914,77.41704,3
77918,1996-06-01,33.83704,77.93869,3
77928,1996-06-01,31.32118,78.41938,2
77931,1996-06-01,30.55956,78.5563,2
77942,1996-06-01,27.73854,79.03212,0
77950,1996-06-01,25.65753,79.35434,1
77955,1996-06-01,24.34367,79.54638,0
77978,1996-06-01,18.15726,80.34816,1
