index,start_date,lat,lon,P0.1_N1_ALL_C4
94126,1993-03-01,0.77489,-73.90028,0
94130,1993-03-01,1.98506,-73.72033,0
94132,1993-03-01,2.58512,-73.62887,0
94135,1993-03-01,3.4791,-73.4898,0
94137,1993-03-01,4.07109,-73.3958,0
94143,1993-03-01,5.82856,-73.10746,0
94150,1993-03-01,7.84529,-72.75853,0
94151,1993-03-01,8.13055,-72.70755,0
94154,1993-03-01,8.9822,-72.55281,0
94159,1993-03-01,10.38813,-72.28886,0
94185,1993-03-01,66.87948,13.62699,0
94216,1993-03-01,63.55192,31.63978,1
94226,1993-03-01,62.13049,36.02737,1
94236,1993-03-01,60.70299,39.63437,1
94243,1993-03-01,59.63582,41.95522,1
94252,1993-03-01,58.19028,44.70916,1
94278,1993-03-01,53.43679,51.62077,1
94295,1993-03-01,50.1807,55.11644,1
94303,1993-03-01,48.58925,56.57519,1
94305,1993-03-01,48.1859,56.92317,1
94311,1993-03-01,46.96319,57.92947,1
94314,1993-03-01,46.34488,58.41235,1
94336,1993-03-01,39.703,62.72323,0
94353,1993-03-01,35.87677,64.65382,0
94354,1993-03-01,35.64777,64.75947,0
94368,1993-03-01,32.39627,66.15628,3
94383,1993-03-01,28.81721,67.49939,0
94393,1993-03-01,26.37506,68.31771,1
94408,1993-03-01,21.60552,69.72561,0
94417,1993-03-01,2.49678,-73.47249,0
94421,1993-03-01,3.68705,-73.28497,0
94427,1993-03-01,5.44888,-72.99582,0
94436,1993-03-01,8.04142,-72.54344,0
94438,1993-03-01,8.60973,-72.43973,0
94457,1993-03-01,47.85174,-56.83157,1
94458,1993-03-01,48.0537,-56.65929,0
94461,1993-03-01,48.65634,-56.13282,1
94465,1993-03-01,49.45215,-55.40771,0
94470,1993-03-01,66.01493,-18.77803,0
94476,1993-03-01,66.42405,15.64224,1
94501,1993-03-01,63.47436,30.96375,1
94502,1993-03-01,63.35446,31.38319,1
94509,1993-03-01,62.47493,34.2157,1
94513,1993-03-01,61.66821,36.50144,1
94515,1993-03-01,61.38913,37.23483,1
94518,1993-03-01,60.96141,38.30873,1
94523,1993-03-01,60.2253,40.03025,1
94525,1993-03-01,59.92306,40.69553,1
94534,1993-03-01,58.51145,43.5312,1
94538,1993-03-01,57.85866,44.71208,1
94548,1993-03-01,56.16441,47.46576,1
94552,1993-03-01,55.46354,48.49259,1
94565,1993-03-01,53.1031,51.5627,1
94587,1993-03-01,48.85613,55.95406,1
94593,1993-03-01,47.64925,57.00229,1
94604,1993-03-01,43.27953,60.25512,0
94613,1993-03-01,41.34184,61.47688,0
94621,1993-03-01,39.58839,62.488,0
94632,1993-03-01,37.13083,63.77464,3
94634,1993-03-01,36.67828,63.99665,3
94652,1993-03-01,32.52662,65.84708,3
94655,1993-03-01,31.82088,66.13167,0
94664,1993-03-01,29.67976,66.9487,0
94668,1993-03-01,28.71653,67.29507,0
94672,1993-03-01,27.74606,67.63172,0
94688,1993-03-01,23.2869,69.03608,0
94693,1993-03-01,0.59749,-73.59237,0
94699,1993-03-01,2.40756,-73.31635,0
94710,1993-03-01,5.65027,-72.78618,0
94718,1993-03-01,7.9514,-72.37963,0
94719,1993-03-01,8.23584,-72.3275,0
94721,1993-03-01,8.80265,-72.22233,0
94724,1993-03-01,9.64777,-72.0623,0
94725,1993-03-01,10.20784,-71.95405,0
94726,1993-03-01,10.48689,-71.89946,0
94739,1993-03-01,48.12142,-56.22246,1
94747,1993-03-01,65.32069,-21.60552,0
94769,1993-03-01,65.86915,18.0939,0
94771,1993-03-01,65.72205,19.11297,1
