index,start_date,lat,lon,P0.1_N1_[ALL]_C5
44426,2006-12-01,44.80028,100.61965,0
44436,2006-12-01,42.38753,100.10503,4
44439,2006-12-01,41.65863,99.96014,4
44443,2006-12-01,40.683,99.77322,0
44444,2006-12-01,40.43841,99.72758,0
44446,2006-12-01,39.94841,99.63754,0
44448,2006-12-01,39.45731,99.54913,0
44453,2006-12-01,38.2246,99.335,1
44463,2006-12-01,35.73732,98.93407,1
44477,2006-12-01,32.2032,98.42697,1
44490,2006-12-01,28.86277,98.00473,2
44499,2006-12-01,26.51423,97.73622,2
44501,2006-12-01,25.98811,97.67896,3
44508,2006-12-01,24.13405,97.48504,0
44554,2006-12-01,19.85103,-96.88172,0
44571,2006-12-01,29.41672,-97.84568,3
44593,2006-12-01,35.02369,-98.57906,2
44604,2006-12-01,37.76933,-98.99925,2
44607,2006-12-01,38.51194,-99.12103,2
44615,2006-12-01,40.47979,-99.46232,2
44618,2006-12-01,41.2132,-99.59692,2
44621,2006-12-01,41.94418,-99.73537,1
44624,2006-12-01,42.67278,-99.87784,2
44639,2006-12-01,46.28132,-100.65685,1
44643,2006-12-01,47.23419,-100.88553,1
44656,2006-12-01,50.30482,-101.70058,1
44691,2006-12-01,58.37925,-104.63828,1
44699,2006-12-01,60.18514,-105.52411,1
44715,2006-12-01,63.74875,-107.65012,1
44724,2006-12-01,65.72205,-109.11298,1
44730,2006-12-01,67.02334,-110.22486,4
44733,2006-12-01,67.66928,-110.82855,1
44742,2006-12-01,70.84376,-114.44395,4
44749,2006-12-01,72.28689,-116.56505,1
44764,2006-12-01,72.49063,116.89624,1
44768,2006-12-01,71.6719,115.61549,1
44772,2006-12-01,70.84376,114.44395,1
44773,2006-12-01,70.63538,114.16663,1
44781,2006-12-01,68.95083,112.14518,1
44801,2006-12-01,64.62877,108.27264,1
44805,2006-12-01,63.74875,107.65012,1
44817,2006-12-01,61.08224,106.0074,1
44833,2006-12-01,57.47062,104.23146,1
44836,2006-12-01,56.78672,103.94059,1
44840,2006-12-01,55.87164,103.57043,1
44841,2006-12-01,55.6423,103.48089,1
44855,2006-12-01,52.40771,102.33909,1
44858,2006-12-01,51.7088,102.11876,1
44891,2006-12-01,43.88194,100.12467,4
44893,2006-12-01,43.39905,100.02449,0
44900,2006-12-01,41.70078,99.68879,4
44903,2006-12-01,40.969,99.55164,0
44907,2006-12-01,39.9895,99.37465,0
44921,2006-12-01,36.52581,98.80331,1
44929,2006-12-01,34.52052,98.50682,1
44943,2006-12-01,30.96211,98.03304,2
44959,2006-12-01,26.81198,97.55199,2
44964,2006-12-01,25.49529,97.41319,3
44968,2006-12-01,24.43472,97.30576,3
44972,2006-12-01,23.36755,97.20138,0
44999,2006-12-01,4.583,95.82634,0
45001,2006-12-01,16.00631,-96.38156,0
45015,2006-12-01,19.88357,-96.68691,0
45023,2006-12-01,28.41407,-97.50735,0
45031,2006-12-01,30.48389,-97.74471,0
45037,2006-12-01,32.02152,-97.93275,3
