index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_minus3,fw_fw_06_swe_minus2,fw_fw_06_swe_minus1,fw_fw_06_swe_plus1,fw_fw_06_swe_plus2,swe_swe_average_minus3,swe_swe_average_minus2,swe_swe_average_minus1,swe_swe_average_plus1,swe_swe_average_plus2,energy_sw_up_minus3,energy_sw_up_minus2,energy_sw_up_minus1,energy_sw_up_plus1,energy_sw_up_plus2,energy_sw_dn_minus3,energy_sw_dn_minus2,energy_sw_dn_minus1,energy_sw_dn_plus1,energy_sw_dn_plus2,energy_lw_up_minus3,energy_lw_up_minus2,energy_lw_up_minus1,energy_lw_up_plus1,energy_lw_up_plus2,energy_lw_dn_minus3,energy_lw_dn_minus2,energy_lw_dn_minus1,energy_lw_dn_plus1,energy_lw_dn_plus2,clusterLabel
38727,2006-03-01,40.09609,102.93454,0,0,0,0,0,9,83,0,0,0,0,15,4,5,0,0,48,41,3,0,13,63,16,0,0,16,58,12,5,3,23,56,10,0,1
38740,2006-03-01,36.92031,102.20047,4,34,54,0,0,0,0,0,0,0,0,0,0,0,0,0,63,29,0,0,15,61,16,0,0,13,58,20,1,1,32,48,11,0,0
38747,2006-03-01,35.18848,101.83821,0,37,55,0,0,0,0,0,0,0,0,0,0,0,0,0,72,20,0,0,14,51,26,1,0,12,60,18,2,0,30,52,10,0,0
38754,2006-03-01,33.44073,101.49657,1,48,43,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,1,12,62,17,0,0,9,71,12,0,1,21,60,10,0,0
38759,2006-03-01,32.18224,101.26421,0,42,50,0,0,0,0,0,0,0,0,0,0,0,0,0,57,26,4,0,12,58,22,0,4,17,63,7,1,1,15,65,11,0,0
38765,2006-03-01,30.66056,100.99733,0,37,55,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,39,0,11,52,29,0,8,28,50,5,0,0,15,59,18,0,0
38769,2006-03-01,29.63894,100.82625,0,69,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,72,5,0,12,54,26,0,1,20,62,9,0,0,17,59,16,0,0
38770,2006-03-01,29.38261,100.78429,0,81,11,0,0,0,0,0,0,0,0,0,0,0,0,0,44,37,6,0,12,54,26,0,1,12,69,10,0,0,17,60,14,1,0
38803,2006-03-01,20.70013,99.5601,0,0,0,0,0,0,49,17,15,0,0,0,0,0,0,1,42,35,14,2,25,52,12,1,1,5,59,17,10,1,9,75,7,0,1
38822,2006-03-01,15.47736,98.97263,0,0,0,0,0,7,50,2,6,0,0,0,0,0,0,1,46,33,12,3,22,52,15,0,0,19,70,3,0,0,9,82,1,0,1
38832,2006-03-01,12.6517,98.69131,0,0,0,0,4,7,61,12,8,0,0,0,0,0,0,0,47,31,14,2,16,69,5,0,0,13,77,2,0,0,5,85,2,0,1
38844,2006-03-01,3.79771,97.94347,0,0,0,0,0,0,54,0,6,0,0,0,0,0,0,0,20,51,21,2,19,56,15,0,2,10,80,0,0,1,6,79,6,0,1
38854,2006-03-01,17.46694,-98.99244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,4,0,0,1,76,15,0,2,16,65,8,1,0,14,62,16,0,1
38862,2006-03-01,19.66019,-99.23713,0,0,0,0,0,0,33,34,18,0,0,0,0,0,0,3,82,7,0,0,13,72,6,1,1,2,74,14,1,4,13,59,15,1,1
38877,2006-03-01,23.69114,-99.73338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,6,0,0,8,71,12,1,1,4,63,19,5,2,3,70,17,0,1
38881,2006-03-01,24.7493,-99.87476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,7,0,2,12,64,14,0,3,1,67,20,1,2,3,67,20,0,1
38888,2006-03-01,26.58513,-100.13221,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,6,0,0,4,75,12,1,2,5,60,22,3,2,9,65,16,0,0
38956,2006-03-01,43.51818,-103.55128,3,64,25,0,0,0,0,0,0,0,0,0,0,0,0,0,77,9,6,0,14,60,18,0,4,13,48,24,3,0,14,63,11,4,0
38989,2006-03-01,51.2396,-106.17868,22,57,13,0,0,0,30,5,16,0,0,12,19,10,0,0,74,18,0,0,14,60,18,0,0,22,51,15,4,0,19,53,17,3,0
38993,2006-03-01,52.15545,-106.56608,23,53,16,0,0,0,25,11,15,0,0,8,19,14,0,0,75,17,0,0,15,58,19,0,0,20,52,17,3,0,18,55,16,3,0
38995,2006-03-01,52.61173,-106.76661,26,52,14,0,0,0,34,8,9,0,0,6,9,23,0,0,70,9,13,0,14,56,22,0,0,20,53,16,3,0,17,57,15,3,0
39005,2006-03-01,54.87653,-107.84429,25,52,15,0,0,0,38,14,0,0,0,43,22,0,0,0,59,4,13,0,15,62,15,0,1,20,49,20,2,0,12,61,17,2,0
39023,2006-03-01,59.31886,-110.45631,32,41,18,1,0,0,20,3,4,0,31,53,0,0,0,1,80,11,0,0,16,58,18,0,0,12,51,29,0,0,9,55,28,0,2
39041,2006-03-01,63.62869,-113.91232,49,32,11,0,0,0,14,7,4,0,19,66,0,0,0,19,67,6,0,0,19,54,19,0,0,7,58,27,0,0,4,58,30,0,2
39076,2006-03-01,72.93233,128.54118,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,14,53,25,0,0,18,53,21,0,2,34,41,15,0,0,27,50,14,1,2
39077,2006-03-01,72.39213,127.16447,82,2,8,0,0,0,0,0,0,0,0,87,0,0,0,12,46,34,0,0,18,54,20,0,2,35,38,16,1,0,26,49,15,2,2
39081,2006-03-01,71.65639,125.45547,81,3,8,0,0,0,0,0,0,0,0,87,0,0,0,13,47,32,0,0,17,55,20,0,0,38,35,19,0,0,25,50,15,2,2
39085,2006-03-01,70.90468,123.87854,83,3,6,0,0,0,0,0,0,0,0,87,0,0,0,13,53,26,0,0,17,55,20,0,0,30,47,15,0,0,23,53,14,2,2
39092,2006-03-01,69.55551,121.39946,73,11,8,0,0,0,0,0,0,0,9,78,0,0,0,9,57,23,3,0,17,56,19,0,0,34,45,13,0,0,17,58,14,3,2
39103,2006-03-01,67.36313,118.10627,67,14,11,0,0,0,5,0,0,0,12,75,0,0,0,6,75,11,0,0,17,54,21,0,0,28,48,16,0,0,22,53,16,1,2
39115,2006-03-01,64.89086,115.17352,63,17,12,0,0,0,7,5,0,0,10,75,0,0,0,8,82,2,0,0,18,55,19,0,2,23,52,15,0,0,26,49,16,1,2
39121,2006-03-01,63.62869,113.91232,58,18,16,0,0,0,12,0,0,0,5,80,0,0,0,10,81,1,0,0,17,55,20,0,0,18,59,13,2,0,25,52,13,2,2
39124,2006-03-01,62.99185,113.32535,58,19,15,0,0,0,12,0,0,0,3,68,12,0,0,12,79,1,0,0,17,55,20,0,0,13,64,13,2,0,25,53,13,1,2
39154,2006-03-01,56.445,108.68192,60,4,28,0,0,0,6,0,0,0,0,0,0,0,0,5,57,21,9,0,15,54,23,0,0,24,53,15,0,0,19,62,10,1,2
