index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,clusterLabel
681,1998-06-01,43.18458,145.2869,0,0,0,0,7,22,58,4,0,0,0,0,0,0,0,0,42,50,0,0,0,92,0,0,0,0,92,0,0,0,1,86,5,0,17
682,1998-06-01,40.52645,141.29813,0,91,1,0,0,29,53,2,3,0,0,0,0,0,0,0,52,40,0,0,0,92,0,0,0,0,92,0,0,0,1,91,0,0,18
683,1998-06-01,40.37086,141.08853,0,92,0,0,0,13,63,14,0,0,0,0,0,0,0,0,54,38,0,0,1,90,1,0,0,0,92,0,0,0,1,91,0,0,2
685,1998-06-01,40.05725,140.67302,0,92,0,0,0,7,78,7,0,0,0,0,0,0,0,0,58,34,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,2
700,1998-06-01,34.26524,134.31793,0,0,0,0,0,15,76,1,0,0,0,0,0,0,0,0,22,68,2,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,20
713,1998-06-01,46.00672,150.06848,0,0,0,0,0,9,76,7,0,0,0,0,0,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,0,0,82,10,0,3
724,1998-06-01,40.40696,140.71059,0,92,0,0,0,9,77,6,0,0,0,0,0,0,0,0,54,38,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,2
727,1998-06-01,39.93164,140.09212,0,0,0,0,2,25,58,7,0,0,0,0,0,0,0,0,71,17,4,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,3
740,1998-06-01,33.52048,133.31532,0,92,0,0,1,14,74,3,0,0,0,0,0,0,0,0,70,21,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
742,1998-06-01,33.1468,132.99045,0,92,0,0,7,27,52,6,0,0,0,0,0,0,0,0,70,19,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
758,1998-06-01,0.93855,117.5714,0,0,0,0,4,31,50,5,2,0,0,0,0,0,0,0,90,2,0,0,0,91,1,0,0,0,92,0,0,0,0,92,0,0,3
762,1998-06-01,52.17063,-174.4278,0,0,0,0,0,20,65,7,0,0,0,0,0,0,0,10,78,3,1,0,0,92,0,0,0,0,92,0,0,0,0,87,5,0,3
774,1998-06-01,42.43258,143.1301,0,92,0,0,10,31,51,0,0,0,0,0,0,0,0,0,29,58,5,0,2,90,0,0,0,0,92,0,0,0,1,91,0,0,19
784,1998-06-01,35.16678,134.48071,0,92,0,0,0,32,60,0,0,0,0,0,0,0,0,0,65,27,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,2
785,1998-06-01,34.98525,134.30972,0,92,0,0,0,18,66,8,0,0,0,0,0,0,0,0,39,53,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,19
810,1998-06-01,1.64342,117.57775,0,0,0,0,0,0,82,1,0,0,0,0,0,0,0,0,61,31,0,0,0,91,1,0,0,0,92,0,0,0,0,92,0,0,3
823,1998-06-01,42.92421,143.41234,0,92,0,0,1,33,50,5,3,0,0,0,0,0,0,0,28,61,3,0,2,90,0,0,0,0,92,0,0,0,1,91,0,0,19
828,1998-06-01,41.26096,140.9989,0,0,0,0,1,15,57,17,2,0,0,0,0,0,0,0,62,21,4,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
840,1998-06-01,33.87015,132.96669,0,92,0,0,0,9,79,4,0,0,0,0,0,0,0,0,52,37,3,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,2
859,1998-06-01,5.073,118.35729,0,0,0,0,0,4,72,16,0,0,0,0,0,0,0,0,18,74,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,20
863,1998-06-01,2.06671,117.509,0,0,0,0,0,8,77,5,2,0,0,0,0,0,0,0,51,41,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,3
867,1998-06-01,0.94875,117.21203,0,0,0,0,0,0,77,13,2,0,0,0,0,0,0,0,84,8,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
881,1998-06-01,41.13896,140.40379,0,0,0,0,0,10,71,9,2,0,0,0,0,0,0,0,53,39,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
890,1998-06-01,32.90825,131.82942,0,92,0,0,2,9,75,6,0,0,0,0,0,0,0,0,40,51,1,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,18
893,1998-06-01,32.3317,131.36182,0,92,0,0,0,10,67,6,6,0,0,0,0,0,0,0,38,54,0,0,4,88,0,0,0,0,92,0,0,0,0,92,0,0,19
895,1998-06-01,31.94414,131.05481,0,92,0,0,0,37,53,2,0,0,0,0,0,0,0,0,41,51,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,19
