index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2
2046,1993-03-01,43.98046,135.2039,3,65,21,3,0,2,46,15,1,0,0,39,4,11,1,16,75,0,0,0,12,58,22,0,0,12,67,13,0,0,17,63,12,0
2067,1993-03-01,34.52052,126.57931,0,87,2,3,2,18,71,1,0,0,0,0,0,0,0,14,74,4,0,0,15,66,11,0,1,18,59,13,1,1,23,56,11,1
2098,1993-03-01,56.36885,162.18111,29,28,32,3,0,2,25,0,0,0,11,42,28,0,0,8,80,4,0,0,17,56,19,0,3,13,65,11,0,3,11,69,9,0
2109,1993-03-01,55.48936,158.19859,54,14,24,0,0,0,0,0,0,0,0,0,0,0,0,8,56,28,0,0,17,54,21,0,0,12,70,10,0,1,18,60,13,0
2124,1993-03-01,49.14205,142.09669,31,26,31,4,0,17,56,14,1,0,0,11,25,0,0,20,51,18,3,0,17,55,20,0,1,15,63,13,0,0,17,67,8,0
2144,1993-03-01,43.45583,134.19307,0,75,17,0,2,18,40,0,0,0,0,39,3,11,0,17,75,0,0,0,12,63,17,0,0,17,60,15,0,0,16,62,14,0
2150,1993-03-01,37.48376,128.50066,0,87,5,0,0,0,67,0,0,0,0,22,5,0,0,15,77,0,0,0,15,58,19,0,1,19,56,15,1,1,19,60,11,1
2173,1993-03-01,3.19346,113.62938,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,20,69,3,0,4,12,65,11,0,0,2,52,16,16,0,11,64,17,0
2192,1993-03-01,56.51969,161.6888,36,27,29,0,0,0,1,0,0,0,6,44,26,0,0,9,76,7,0,0,17,54,21,0,4,7,68,13,0,3,10,69,10,0
2212,1993-03-01,50.06173,143.19611,33,30,29,0,0,0,26,0,0,0,27,65,0,0,0,21,53,13,5,0,16,56,20,0,0,17,62,10,3,1,16,67,7,1
2241,1993-03-01,43.44973,133.7897,2,73,17,0,0,0,44,0,0,0,0,0,0,0,0,11,81,0,0,0,12,61,19,0,0,18,59,15,0,0,18,61,13,0
2245,1993-03-01,38.03292,128.61963,1,78,7,6,0,19,71,2,0,0,0,18,4,1,0,28,64,0,0,0,15,60,17,0,1,19,59,13,0,1,20,59,11,1
2252,1993-03-01,36.64677,127.52267,0,0,0,0,0,3,76,6,7,0,0,0,0,0,1,12,79,0,0,0,12,59,21,0,1,22,50,18,1,1,19,59,12,1
2271,1993-03-01,1.01661,112.96629,0,0,0,0,0,0,66,8,4,0,0,0,0,0,0,27,65,0,0,0,11,62,18,1,0,1,37,24,18,0,6,67,15,4
2290,1993-03-01,56.18672,158.99031,58,17,17,0,0,0,0,0,0,0,0,0,0,0,0,6,71,15,0,0,17,53,22,0,0,12,67,13,0,2,18,59,13,0
2310,1993-03-01,47.82862,138.99091,19,40,28,5,0,0,20,6,1,0,0,0,0,0,0,23,62,7,0,0,17,59,16,0,0,3,76,13,0,0,18,65,9,0
2312,1993-03-01,47.50988,138.52145,11,57,24,0,0,0,12,13,2,0,0,0,0,0,1,32,46,13,0,0,17,57,18,0,0,1,79,12,0,0,18,65,9,0
2316,1993-03-01,46.86256,137.60257,8,55,29,0,0,0,19,2,0,0,0,47,22,0,3,17,67,5,0,0,16,56,20,0,0,16,60,16,0,0,19,61,12,0
2327,1993-03-01,45.01756,135.20834,3,68,21,0,0,0,7,18,2,0,0,56,14,0,0,5,86,1,0,0,13,60,19,0,0,15,62,15,0,0,18,61,13,0
2376,1993-03-01,56.57359,159.58157,56,16,20,0,0,0,0,0,0,0,0,0,0,0,0,6,70,16,0,0,17,54,21,0,0,14,58,20,0,2,19,58,13,0
2385,1993-03-01,55.77769,156.34869,47,19,26,0,0,0,8,2,1,0,11,37,32,0,0,5,61,25,1,0,16,55,21,0,0,14,65,12,1,0,21,58,13,0
2397,1993-03-01,48.48409,139.50218,19,37,35,1,0,0,15,5,5,0,0,90,0,0,0,9,78,5,0,0,17,58,17,0,0,16,59,17,0,0,18,64,10,0
2452,1993-03-01,0.67776,112.54585,0,0,0,0,0,15,75,0,0,0,0,0,0,0,0,27,65,0,0,0,11,64,17,0,0,2,38,20,22,0,6,66,16,4
2465,1993-03-01,56.95632,160.1862,53,11,28,0,0,0,0,0,0,0,17,23,47,0,0,10,71,11,0,0,17,54,21,0,0,10,64,18,0,4,13,65,10,0
2476,1993-03-01,55.99356,156.19406,47,17,28,0,0,0,7,4,1,0,9,33,35,0,0,3,69,19,1,0,16,56,20,0,0,14,65,12,1,0,21,58,13,0
2488,1993-03-01,48.50953,139.05356,21,35,36,0,0,0,25,1,1,0,0,73,0,0,0,9,78,5,0,0,17,58,17,0,0,15,61,16,0,0,18,64,10,0
2517,1993-03-01,43.59712,132.77408,4,73,15,0,0,1,32,12,1,0,0,49,10,2,0,8,84,0,0,0,12,58,22,0,0,16,59,17,0,0,18,63,11,0
2527,1993-03-01,37.30514,127.07307,0,0,0,0,0,0,57,19,5,0,0,0,0,0,6,9,76,1,0,0,13,59,20,0,1,17,55,18,1,1,18,60,12,1
2538,1993-03-01,1.67314,112.58253,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,24,68,0,0,0,15,67,10,0,0,1,37,22,25,0,6,67,17,2
2546,1993-03-01,56.84506,-158.5654,10,54,25,3,0,19,64,9,0,0,0,10,0,0,0,3,77,10,2,0,17,55,20,0,0,4,73,12,2,0,5,69,17,1
2554,1993-03-01,57.25682,160.42688,53,15,24,0,0,0,0,0,0,0,0,0,0,0,0,10,70,12,0,0,17,54,21,0,0,8,67,15,2,4,13,65,10,0
2573,1993-03-01,49.4733,140.06943,26,33,33,0,0,0,26,0,1,0,4,66,0,0,0,23,63,6,0,0,17,54,21,0,0,15,61,16,0,0,16,69,7,0
2575,1993-03-01,49.16307,139.57393,23,31,38,0,0,0,14,0,0,0,16,65,0,0,0,15,72,5,0,0,17,54,21,0,0,16,59,17,0,0,18,63,11,0
2639,1993-03-01,0.33184,112.12796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,67,0,0,0,10,67,15,0,0,4,39,21,18,1,6,65,16,4
2640,1993-03-01,0.03692,112.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,68,0,0,0,7,71,14,0,0,4,39,19,21,1,6,65,16,4
2667,1993-03-01,49.65724,139.85962,25,32,35,0,0,11,14,1,0,0,1,63,0,0,0,23,63,6,0,0,17,54,21,0,0,14,61,17,0,0,16,68,8,0
2685,1993-03-01,46.73494,135.64861,7,60,25,0,0,0,21,0,0,0,0,33,21,6,0,14,78,0,0,0,16,57,19,0,0,17,59,16,0,0,21,59,12,0
2719,1993-03-01,37.80805,126.81865,0,0,0,0,0,1,72,19,0,0,0,0,0,0,1,17,73,1,0,0,10,64,18,0,1,18,55,17,1,1,18,59,13,1
2736,1993-03-01,2.77958,112.46902,0,0,0,0,0,3,89,0,0,0,0,0,0,0,0,10,82,0,0,1,16,65,10,0,0,1,45,30,13,1,8,61,22,0
2749,1993-03-01,57.28225,-158.2729,6,56,25,5,0,0,70,19,3,0,0,0,0,0,0,9,72,11,0,0,18,54,20,0,0,1,76,12,2,0,3,71,17,1
2784,1993-03-01,48.07958,137.00565,17,53,22,0,0,0,16,1,0,0,0,33,25,0,0,10,77,5,0,0,17,55,20,0,0,16,60,16,0,0,20,59,13,0
