index,lat,lon,ft_frozen,fw_fw_06_swe_-3,clusteringLabel
78636,27.63638,78.60467,0,0,0
78641,26.33992,78.81581,0,0,0
78705,36.14925,-76.68821,0,0,0
78717,39.80395,-75.77041,0,0,0
78732,43.38928,-74.71989,14,0,2
78738,44.80466,-74.25606,14,0,2
78754,48.5276,-72.87386,20,0,1
78761,50.13294,-72.19235,28,0,1
78762,50.3611,-72.09068,30,0,1
78778,53.97095,-70.29714,0,0,0
78794,57.71805,-67.97272,50,0,3
78802,71.0066,-50.80673,0,0,0
78804,76.85553,-24.36245,0,3,0
78808,77.20328,-20.67442,0,0,0
78823,65.68756,60.32151,54,0,3
78824,65.48691,60.5844,57,0,3
78834,63.44954,62.99591,41,0,3
78848,60.51503,65.81264,39,1,3
78849,60.30219,65.99285,37,1,1
78851,59.87531,66.34578,36,0,1
78853,59.44686,66.68906,36,0,1
78867,56.40651,68.85047,36,0,1
78872,55.30428,69.53244,33,0,1
78877,54.19396,70.17352,35,0,1
78878,53.97095,70.29714,32,0,1
78909,46.90798,73.50654,2,0,0
78927,41.72455,75.22838,0,0,0
78943,37.86364,76.2748,0,0,0
78955,34.41885,77.07786,0,0,0
78957,33.92144,77.1851,0,0,0
78961,32.92251,77.39442,12,0,2
78978,28.61343,78.2137,0,0,0
78981,27.84181,78.34749,0,0,0
79002,22.33814,79.20623,0,0,0
79024,16.35864,79.98112,0,0,0
79031,8.36895,80.82117,0,0,0
79039,7.43588,-80.73428,0,0,0
79057,38.29012,-75.90107,0,0,0
79070,41.42222,-75.03328,3,7,0
79071,41.661,-74.96218,4,0,0
79074,42.37553,-74.74488,9,0,2
79078,43.32402,-74.44542,10,0,2
79091,46.3738,-73.38791,18,3,2
79111,50.96839,-71.45836,30,0,1
79160,67.91804,56.30993,67,0,3
79181,63.75377,62.10273,45,0,3
79192,61.47352,64.45797,40,0,3
79196,60.63057,65.22486,38,0,3
79203,59.13942,66.46765,36,0,1
79215,56.53979,68.34401,34,0,1
79252,48.22582,72.66483,9,0,2
79270,43.5604,74.36876,2,0,0
79290,38.7754,75.77403,0,0,0
79328,29.07161,77.90524,0,0,0
79344,24.92963,78.60786,0,0,0
79346,24.40453,78.69007,0,0,0
79352,22.81891,78.92979,0,0,0
79364,19.59898,79.38035,0,0,0
79389,9.49171,80.53768,0,0,0
79401,7.38713,-80.56575,0,0,0
79406,8.85875,-80.42371,0,0,0
79422,38.95538,-75.45617,0,0,0
79428,40.64032,-74.98163,0,0,0
79430,41.11894,-74.84045,2,0,0
79432,41.59633,-74.69665,3,0,0
79441,43.72954,-74.0152,9,3,2
79465,49.52793,-71.77115,19,1,2
79473,51.34385,-70.91888,36,0,1
79490,55.13636,-68.82742,47,0,3
79524,66.63562,57.69958,60,0,3
79545,62.41262,63.01211,41,0,3
79553,60.74289,64.6326,39,1,3
79555,60.32099,65.00969,37,2,1
79563,58.61689,66.41835,36,0,1
79569,57.32248,67.38013,34,0,1
79575,56.01497,68.27021,33,0,1
79588,53.14005,69.98643,32,0,1
79599,50.66516,71.24733,32,0,1
79634,42.54745,74.40091,35,0,1
79651,38.47115,75.5864,0,0,0
79660,36.27622,76.14526,0,0,0
79688,29.27172,77.64049,0,0,0
79725,19.54768,79.18828,0,0,0
79729,18.45949,79.33296,0,0,0
79739,15.70342,79.67846,0,0,0
79775,35.72421,-76.02369,0,0,0
79784,40.09609,-74.86205,0,0,0
79799,43.66146,-73.73979,10,0,2
79809,46.23257,-72.80833,0,0,0
79859,57.66329,-66.6951,0,0,0
79865,58.94974,-65.69545,44,0,3
79880,67.28032,55.99251,66,0,3
79916,60.01078,64.79887,36,0,1
79945,53.72513,69.27444,32,0,1
79954,51.71525,70.3693,32,0,1
79966,48.99584,71.66681,12,0,2
79972,47.61964,72.25532,8,0,2
79991,43.19005,73.89869,14,0,2
80012,38.16592,75.40082,0,0,0
80013,37.92321,75.46554,0,0,0
80053,27.93514,77.66091,0,0,0
80088,18.68031,79.10717,0,0,0
80119,7.63315,80.36883,0,0,0
80134,24.76688,-77.99287,0,0,0
80208,55.61952,-67.70284,0,0,0
80223,58.85272,-65.31283,51,0,3
80240,67.71602,54.53013,66,0,3
80257,64.42563,59.56027,59,0,3
80268,62.19888,62.1759,41,0,3
80281,59.48876,64.77607,34,0,1
80295,56.48995,67.10945,33,0,1
80311,52.97476,69.3193,33,0,1
80315,52.0825,69.80941,35,0,1
80317,51.63444,70.0462,32,0,1
80354,43.12136,73.62645,13,0,2
80358,42.17594,73.94001,33,0,1
80366,40.27023,74.53328,16,0,2
80369,39.55042,74.74488,0,0,0
80373,38.58623,75.01836,0,0,0
80382,36.39789,75.59997,0,0,0
80424,25.55033,77.86095,0,1,0
80436,22.39329,78.3722,0,8,0
80451,18.3548,78.95445,0,0,0
80466,14.20284,79.48179,0,0,0
80492,21.27201,-78.3376,0,0,0
80572,56.61386,-66.59531,49,0,3
80578,57.90286,-65.62353,57,0,3
80581,58.54203,-65.1087,55,0,3
80624,63.10634,60.61584,41,0,3
80652,57.2601,66.11872,34,0,1
80670,53.33344,68.73094,33,0,1
80701,46.3179,72.13991,1,0,0
80712,43.75655,73.1083,6,0,2
80720,41.87029,73.75085,18,0,2
80735,38.27938,74.83554,49,0,3
80763,31.37727,76.52218,0,0,0
80788,24.97218,77.74413,0,0,0
80811,18.84564,78.69007,0,0,0
80860,40.61286,-73.8693,0,0,0
80905,51.02124,-69.64166,33,0,1
80909,51.91539,-69.16091,37,0,1
